time,x,y
1702461588.355737,20,335
1702461588.3896813,24,319
1702461588.4216547,29,320
1702461588.4556603,32,323
1702461588.4900904,35,321
1702461588.5240812,38,318
1702461588.5603642,41,316
1702461588.595217,41,323
1702461588.6328247,47,313
1702461588.6637,51,331
1702461588.6867495,54,332
1702461588.7184796,57,332
1702461588.754979,59,319
1702461588.7915888,67,324
1702461588.825751,72,326
1702461588.870903,77,333
1702461588.9109967,82,334
1702461588.9339194,87,334
1702461588.9639728,100,331
1702461588.9933357,102,335
1702461589.0221796,106,336
1702461589.0586605,113,335
1702461589.0936775,120,334
1702461589.1276813,130,321
1702461589.1615493,140,317
1702461589.1936586,145,329
1702461589.227815,148,331
1702461589.2618184,152,331
1702461589.2960842,159,334
1702461589.3300018,168,333
1702461589.3618464,179,326
1702461589.395667,186,329
1702461589.4294171,189,332
1702461589.4635673,199,331
1702461589.4975874,201,323
1702461589.5295782,209,323
1702461589.5681715,217,325
1702461589.6053302,220,331
1702461589.63905,228,333
1702461589.6681156,236,335
1702461589.6911473,242,334
1702461589.724804,249,334
1702461589.7633731,253,336
1702461589.7975588,267,333
1702461589.8345094,266,325
1702461589.8804805,272,324
1702461589.9446177,285,325
1702461589.9906368,292,330
1702461589.9981055,299,332
1702461590.0051107,305,332
1702461590.0300963,313,333
1702461590.0643826,325,328
1702461590.0933871,332,330
1702461590.124896,334,332
1702461590.1603928,340,333
1702461590.1975849,347,330
1702461590.2358136,353,326
1702461590.2698066,362,325
1702461590.3014708,370,329
1702461590.3355606,377,331
1702461590.369419,384,332
1702461590.403332,393,335
1702461590.437477,403,332
1702461590.4694347,417,329
1702461590.5035195,423,331
1702461590.5375175,423,333
1702461590.5761728,430,332
1702461590.6130447,434,324
1702461590.643428,442,324
1702461590.672728,455,330
1702461590.6997416,463,331
1702461590.7323246,470,331
1702461590.7703316,476,331
1702461590.805582,482,331
1702461590.8395863,497,326
1702461590.8735814,504,331
1702461590.9057748,512,331
1702461590.9402022,517,332
1702461590.9740565,522,322
1702461591.007564,532,317
1702461591.0413847,544,321
1702461591.0734735,554,329
1702461591.1075034,561,330
1702461591.1415234,567,331
1702461591.1758027,572,329
1702461591.2096915,584,324
1702461591.2417233,588,324
1702461591.275768,587,328
1702461591.3093314,588,329
1702461591.3433008,593,324
1702461591.3777065,606,320
1702461591.4097443,608,319
1702461591.4435165,614,333
1702461591.4774776,618,375
